age,employed,monthly_income,retirement_savings,portfolio_allocation,loanApproved
23,1,8266.541277024628,150013.15687555436,0.8585979199113825,True
51,1,12133.676423884235,330533.09544495645,0.7860643052769538,True
49,0,926.7649888486018,535760.1541988035,0.6438651200806645,True
46,0,554.5847870158348,536684.396444192,0.06381725610417532,True
28,1,7254.31161755842,183022.1149154377,0.9706980243949033,False
65,0,466.7210037270342,408884.1455944206,0.04380376578722878,True
76,1,14610.11678921052,449913.25220541813,0.32582535813815194,True
68,0,129.92150533547164,422667.3944498578,0.47570492622593374,True
77,0,832.6781960578375,438887.18853431137,0.7002651020022491,False
45,1,7649.740548362093,292974.4883103349,0.2883281039302441,True
70,0,7.362269751005512,505788.6925811677,0.7869243775021384,False
35,1,8506.98930646008,226563.4721951319,0.5687411959528937,True
45,1,8653.15447371759,293188.9970292817,0.5652361064811888,True
53,1,9710.485928944963,343280.12636987667,0.3039500980626122,True
79,0,408.52864372463614,424001.7144172417,0.8534030732681661,True
71,0,293.5937577666836,485324.70251437457,0.6619165147268951,False
80,1,7876.642337280847,411291.4601984822,0.8140203846660347,True
24,0,722.3593505964503,410209.38366057765,0.4618772302513874,True
77,0,696.320375077736,451917.8287131124,0.4461562755740307,True
61,1,7341.751326640685,395506.81534551334,0.087649919316101,False
