loanApproved,age,employed,monthly_income,retirement_savings,portfolio_allocation
True,71,1,6237.440565166444,460242.97185237415,0.04097352393619469
True,29,1,13953.06692733266,189096.69105855838,0.6066357757671799
True,57,1,14220.869085453218,369207.1201004424,0.8158535541215322
True,42,1,3403.0269036655723,272156.70461356663,0.7296554464299441
True,23,1,9497.5346429891,149298.9867751139,0.2997118905373848
False,43,0,124.28327649956394,454986.56929679273,0.6706244146936303
True,34,1,7604.130651142601,222250.1718808182,0.997209935789211
True,41,1,10805.511315213796,266211.1957023457,0.6884467305709401
False,73,0,721.4883401940817,391033.9079810898,0.5253543224757259
False,44,0,889.4878343490002,400059.52833538153,0.9340435159562497
True,60,1,6862.432692911306,389578.56918631855,0.5943000301996968
False,65,0,890.2743520047924,450430.92006141087,0.22715759353337972
False,21,0,832.6441476533978,377582.3202800623,0.7870983074886834
True,67,1,3702.8164176623322,434590.7266139266,0.3361170605456604
False,72,0,796.3242702872942,342023.6429420249,0.23064220899374743
False,53,0,198.51304450925534,442297.0868603043,0.0907530456191219
False,74,0,671.9948779563593,510963.0683741334,0.1995154439682133
False,21,0,105.49527957022953,508123.93417228124,0.6291081515397092
False,43,0,954.5904936907373,412858.39299635455,0.499895813687647
True,77,1,14941.15806282389,419466.56744086643,0.9489436749377653
True,70,1,8969.072345851428,455743.0428218559,0.5293121601967704
False,22,0,734.4835717887294,509054.9285192192,0.7111428779897498
False,29,0,729.0151170763094,515862.3908476979,0.9274239286245599
False,72,0,863.6400902455757,513828.4920901609,0.9811950400663443
False,40,0,972.628813822955,488236.55246767483,0.8899355557205206
False,32,0,232.37291963930383,507436.0243269026,0.8018805787183079
False,79,0,538.9344076221869,508857.08657322323,0.4427528289745315
False,61,0,732.0061956565607,337533.74629854626,0.6143732469489966
True,76,1,3191.9007542828635,429471.60567514243,0.7579510023564281
True,74,1,3792.9899606888966,344807.7636639958,0.8413172796123832
False,58,0,430.2987319478333,438861.60365496116,0.9660620807840702
False,65,0,241.67571409434495,375020.01751360815,0.8881183206591798
False,25,0,288.3307570075776,437316.3773124863,0.5861230648127328
True,66,1,9725.71142407423,428773.5304909703,0.2884212144312105
True,48,1,10518.077549037042,311660.4514688384,0.9590776426974422
True,23,1,10127.090419358019,148578.231199285,0.84829120827506
False,69,0,909.9589616622969,488299.6519784491,0.043066888568204176
False,67,0,829.8039852781027,401435.7607425198,0.009954560807291957
False,24,0,652.6145763366385,465513.36301122745,0.2738490985995572
True,57,1,4521.805227134973,369354.6067941609,0.8647782954007741
False,48,0,429.77406117857663,517482.54870346125,0.48884954683346427
True,61,1,6706.2883526311325,397444.11253089225,0.26983678550080015
True,58,1,9128.478066523743,378286.7851052184,0.34429573096232524
False,64,0,182.71237892656245,486331.258561516,0.8800981213040697
True,35,1,14500.963581335423,228145.44610858455,0.9257145772144187
True,57,1,5965.7608838652895,370942.1608082188,0.1412465569010316
True,20,1,5004.635145387266,131066.66499216174,0.395557273104876
True,54,1,9940.030979115272,351067.65784640645,0.19412977289079358
True,65,1,4067.227682955264,422685.62856118503,0.9819426931267062
False,46,0,772.6492012253887,444107.3313753164,0.9782657138401457
False,78,0,187.5077157277849,369181.3842271016,0.6725266339168693
True,59,1,10226.870116555509,382387.8896903777,0.962423093124381
False,49,0,744.0974792826482,405805.0656927017,0.1772267404746588
False,76,0,725.8808637757768,407138.40624634223,0.08776788675948677
True,79,1,8667.604041000137,477521.068946838,0.9126219336408856
True,76,1,4528.836108586876,345497.9229274376,0.07356290533063203
True,31,1,10608.839752169319,200625.21288211085,0.496571693798853
True,34,1,6816.208654149576,220896.92385505504,0.7108798632659449
True,64,1,12475.988789518444,416204.7721086411,0.09274547552338075
False,34,0,808.1367518135681,519804.3742732122,0.4888460361292599
False,49,0,963.0191401242672,423493.242249986,0.800917036608609
True,70,1,10234.186862893395,456075.59598303924,0.6551210639913803
False,73,0,834.9882039584006,393938.5579359137,0.3818147799662388
True,61,1,12374.286024916539,396298.83383070445,0.48553513877958776
True,18,1,4041.77846657873,117751.80202163338,0.708418756913866
True,78,1,6867.440696877981,374917.3382680012,0.7966391827460546
False,43,0,417.4481122043798,353524.0737195977,0.5414099836301646
False,76,0,0.3006901069229073,493836.04814206203,0.744380726347399
False,30,0,703.7857692667978,518501.01568106643,0.8211030883946387
True,20,1,8089.277825328154,131232.35945261613,0.9796887085096565
True,44,1,12041.358463006862,285937.98238711874,0.9138376676731629
True,33,1,11418.822792742474,215195.89590195703,0.2939242559745576
True,55,1,4126.141841199675,356391.7266348343,0.3913804263046642
False,46,0,428.5396081429238,443429.8071115309,0.42373744297044735
False,79,0,933.7689099568427,488503.70182294806,0.684050448075033
True,54,1,9999.84056308171,351549.86574270617,0.0402182209046007
True,58,1,12911.486666044791,377814.4346479469,0.5321604734743441
True,50,1,7206.657736414658,324718.3544785801,0.1710214400206741
True,63,1,8270.747182299678,408531.13202699635,0.5883801094292148
True,38,1,6360.988822397993,247943.6699963163,0.19061756040401823
True,27,1,8813.987308155005,174423.6323337586,0.8988237652484845
